outcome,outcome_label,cohort,window,n_treated_states,n_control_states,treated_change,control_change,att
firearm_homicide_rate_per_100k,Firearm Homicide,2010,5,1,21,-1.6926980484131953,-0.37342206261983035,-1.319275985793365
firearm_homicide_rate_per_100k,Firearm Homicide,2011,2,1,21,0.3258989990347261,-0.016144512078159146,0.3420435111128852
firearm_homicide_rate_per_100k,Firearm Homicide,2011,3,1,21,0.3258989990347261,-0.11151174240877948,0.43741074144350556
firearm_homicide_rate_per_100k,Firearm Homicide,2011,5,1,21,0.3788672478510251,-0.2096907437370974,0.5885579915881225
firearm_homicide_rate_per_100k,Firearm Homicide,2015,2,2,21,0.9907108427118918,0.6445025032762621,0.3462083394356297
firearm_homicide_rate_per_100k,Firearm Homicide,2015,3,2,21,0.9934514722243739,0.5997293089104394,0.3937221633139345
firearm_homicide_rate_per_100k,Firearm Homicide,2015,5,2,21,1.006836755200762,0.5321319702480594,0.47470478495270263
firearm_homicide_rate_per_100k,Firearm Homicide,2016,2,2,21,0.5158162337212344,0.5031864605911966,0.01262977313003777
firearm_homicide_rate_per_100k,Firearm Homicide,2016,3,2,21,0.7163211296466856,0.4996281893354704,0.21669294031121522
firearm_homicide_rate_per_100k,Firearm Homicide,2016,5,2,21,0.6861176315260855,0.704150028546521,-0.018032397020435464
firearm_homicide_rate_per_100k,Firearm Homicide,2017,2,3,21,1.47548895659786,0.031498934652248956,1.443990021945611
firearm_homicide_rate_per_100k,Firearm Homicide,2017,3,3,21,0.6052910524609567,0.23265994017741587,0.37263111228354084
firearm_homicide_rate_per_100k,Firearm Homicide,2017,5,3,21,1.384486436865179,0.918301146072253,0.46618529079292603
firearm_homicide_rate_per_100k,Firearm Homicide,2019,2,3,21,0.987288485061431,0.49009882011511907,0.4971896649463119
firearm_homicide_rate_per_100k,Firearm Homicide,2019,3,3,21,1.1418882506087735,0.9064393627410983,0.23544888786767526
firearm_homicide_rate_per_100k,Firearm Homicide,2019,5,3,21,1.0307547113036475,1.1440260589697484,-0.11327134766610092
firearm_homicide_rate_per_100k,Firearm Homicide,2021,2,5,21,0.5162449527615767,1.0550616498680725,-0.5388166971064958
firearm_homicide_rate_per_100k,Firearm Homicide,2021,3,5,21,0.7506407616616975,1.0186811803506517,-0.26804041868895423
firearm_homicide_rate_per_100k,Firearm Homicide,2021,5,5,21,0.7313054589724182,0.8384509689711312,-0.10714550999871308
firearm_homicide_rate_per_100k,Firearm Homicide,2022,2,3,21,-0.7246726692970773,-0.3556358671561801,-0.3690368021408972
firearm_homicide_rate_per_100k,Firearm Homicide,2022,3,3,21,-0.37002194366024366,-0.12057329501826075,-0.2494486486419829
