outcome,outcome_label,specification,coef_post_permitless,se_post_permitless,p_post_permitless,nobs,r2,interpretation_flag,excluded_state
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.338893054449545,0.47774949223446134,0.005070818270161555,1274.0,0.9334479344934273,positive_p05,Nebraska
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.3669407382664005,0.4917577894018386,0.00544085886749062,1274.0,0.9332796828249652,positive_p05,New Hampshire
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.303922207324329,0.4967850284240179,0.008671993743227576,1274.0,0.9351587374530854,positive_p05,North Dakota
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.377556713547506,0.47551877216022315,0.003768032213225731,1274.0,0.9334080926107153,positive_p05,Ohio
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.3505990812265256,0.4836348792557175,0.005228619737378388,1274.0,0.9331188109576876,positive_p05,Oklahoma
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.3775896200121918,0.47570652346535375,0.0037809539951698386,1274.0,0.932751608098243,positive_p05,South Carolina
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.3294079045245093,0.4882959520860305,0.006478112920727873,1274.0,0.9344878929565098,positive_p05,South Dakota
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.3372718079894648,0.47981919864034983,0.005319310722295939,1274.0,0.9321585827869532,positive_p05,Tennessee
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.3543573486375076,0.4794186780841248,0.004728074436727509,1274.0,0.93327101278814,positive_p05,Texas
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.392865188286927,0.4772116382660229,0.0035142916126473123,1274.0,0.933641472872109,positive_p05,Utah
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.3907434365116793,0.4882171818788556,0.004390979746740675,1274.0,0.9341083908976902,positive_p05,West Virginia
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.1287423684001405,0.4539348354329895,0.012897989476446043,1274.0,0.9369506105386414,positive_p05,Wyoming
